prompt,completion
"여보세요, 감기 증상이 심해져서 진료 예약 좀 하려는데요.","네, 내과 예약 도와드릴게요. 원하시는 시간대 있으세요?"
내일 오전 중 가능한 시간 있으면 알려주세요.,10시와 11시 30분 자리 있습니다. 어떤 시간이 괜찮으세요?
11시 30분으로 할게요.,예약 도와드렸습니다. 성함과 연락처 알려주시면 됩니다.
"성함은 김지완, 번호는 010-3399-1177입니다.","네, 확인되었습니다. 접수 시 신분증 지참 부탁드립니다."
"네, 내일 뵐게요.",감사합니다. 조심히 오세요.
안녕하세요. 목이 너무 아프고 열도 있어서 예약하려고요.,"네, 내과 예약 도와드리겠습니다. 내일 오전 괜찮으신가요?"
"네, 가능하면 10시 전이면 좋아요.",9시 50분이 가능합니다.
"좋아요, 그 시간으로 할게요.","네, 예약 도와드렸습니다. 성함과 연락처 알려주세요."
"전 박진서, 010-7771-2256입니다.",확인되었습니다. 진료 전 도착 부탁드립니다.
"네, 감사합니다.",내일 뵙겠습니다.
감기 기운이 며칠째 안 떨어져서 예약하려고요.,"네, 도와드리겠습니다. 내일 오전 시간대 확인해보겠습니다."
"네, 감사합니다.","오전 9시 20분, 10시 40분 자리가 있어요."
10시 40분으로 할게요.,"네, 진료 예약 완료되었습니다. 성함과 번호 알려주세요."
"이름은 정예슬, 번호는 010-9182-6412예요.","네, 확인됐습니다. 신분증 지참해주시고 진료 전 도착 부탁드립니다."
"네, 고맙습니다.",내일 뵙겠습니다.
안녕하세요. 감기 때문에 진료 예약하려고요.,"네, 내과 예약 도와드릴게요. 원하시는 시간 있으세요?"
내일 오전 중 아무 때나 괜찮아요.,"10시 15분, 11시 45분 중 선택 가능하세요."
10시 15분으로 해주세요.,예약 도와드렸습니다. 성함과 연락처 알려주세요.
"정태윤이고요, 010-5422-3030입니다.","네, 확인됐습니다. 초진 접수 있으니 신분증 지참해주세요."
"네, 감사합니다.",조심히 오세요. 내일 뵙겠습니다.
감기로 열이 심해서 예약하고 싶어요.,"네, 내과 진료 예약 도와드릴게요. 내일 오전 어떠세요?"
"네, 좋습니다. 가능한 시간대 알려주세요.",오전 9시 30분과 11시가 있습니다.
9시 30분으로 할게요.,"네, 예약 완료됐습니다. 성함과 번호 알려주세요."
"송서현, 010-3123-6645입니다.",확인됐습니다. 진료 10분 전까지 도착해주세요.
"네, 알겠습니다.",감사합니다. 내일 뵙겠습니다.
"여보세요, 감기 때문에 진료 예약 좀 하려고요.","네, 도와드리겠습니다. 내일 오전 시간 괜찮으세요?"
"네, 가능한 시간 있으신가요?","오전 10시, 11시 10분 중 선택 가능하세요."
11시 10분으로 부탁드릴게요.,예약 도와드렸습니다. 성함과 연락처 알려주세요.
"이태진이고요, 010-8823-9291입니다.",확인되었습니다. 신분증 지참해주시고 진료 전 도착 부탁드립니다.
"네, 감사합니다.","네, 내일 뵙겠습니다."
안녕하세요. 열도 나고 기침이 멈추질 않아서 진료 예약 좀 하려고요.,"네, 안녕하세요. 증상 때문에 많이 불편하시겠어요. 내과 진료 예약 도와드릴게요. 언제쯤 방문 원하시나요?"
내일 오전 중으로 진료를 받았으면 좋겠는데요. 가능할까요?,"확인해보겠습니다. 내일 오전에는 9시 40분, 10시 50분, 11시 30분 세 타임이 비어 있는데요. 어느 시간이 괜찮으세요?"
9시 40분이 제일 좋을 것 같아요. 수업 전에 잠깐 들르려거든요.,"네, 내일 오전 9시 40분 내과 진료로 예약 도와드렸습니다. 성함과 연락처 알려주시겠어요?"
"김서윤이고요, 전화번호는 010-2345-7788입니다.","네, 확인되었습니다. 초진이시라 간단한 접수 절차가 있고요, 진료 10분 전까지는 도착해주시면 됩니다."
"아, 혹시 주차는 가능한가요? 차를 가져가야 할 것 같아서요.","네, 가능합니다. 지하 1층에 환자용 주차 공간이 있고, 접수 시 차량 번호 말씀해주시면 등록 도와드려요."
"아, 감사합니다. 내일 9시 40분에 뵐게요.","네, 조심히 오세요. 쾌유를 빕니다."
"여보세요, 몸살이랑 인후통이 너무 심해서 병원 좀 가야 될 것 같아요. 진료 예약할 수 있을까요?","네, 안녕하세요. 불편하셨겠어요. 내과 진료 예약 도와드리겠습니다. 오늘은 이미 마감이고, 내일 오전 중 진료 괜찮으세요?"
"네, 내일 오전 중이면 무조건 가야 될 것 같아서요. 혹시 몇 시에 가능할까요?","확인해보니 10시 15분, 11시 45분 두 타임 가능합니다."
10시 15분으로 해주세요. 그 시간엔 가능할 것 같아요.,"네, 예약 도와드렸습니다. 성함과 연락처 확인 부탁드릴게요."
정지훈입니다. 010-6655-1123이고요.,"확인되었습니다. 초진 접수이니 신분증 지참해주시고, 진료 시작 10분 전까지 오시면 됩니다."
"네, 감사합니다. 접수 데스크로 가면 되죠?",네 맞습니다. 입구 들어오시면 바로 오른편에 접수 창구가 있습니다.
"네, 알겠습니다. 내일 뵐게요.","네, 내일 뵙겠습니다. 건강 조심하세요."
안녕하세요. 며칠 전부터 감기 증상이 심해져서 진료 예약하려고요. 내일 오전에 가능할까요?,"네, 내과 예약 도와드릴게요. 현재 내일 오전에는 9시 30분, 10시 20분, 11시 자리가 있어요."
10시 20분이 제일 괜찮을 것 같아요. 그 시간으로 부탁드릴게요.,"네, 예약 완료했습니다. 성함과 연락처 알려주세요."
"홍은비이고, 010-8741-0099입니다.",확인되었습니다. 처음 오시는 거라 진료 전 간단한 초진 접수와 문진표 작성이 필요하니 10분 이상 여유 있게 오시면 됩니다.
"네, 그렇게 할게요. 혹시 코로나 검사 같은 건 따로 하나요?",열이나 기침 증상이 있으면 간단한 발열 체크만 하고 진료 가능합니다. 필요 시 의사 판단에 따라 검사를 권유드릴 수도 있습니다.
"네, 알겠습니다. 내일 뵙겠습니다.","네, 조심히 오세요. 빠른 쾌유 바랍니다."
안녕하세요. 요 며칠 컨디션이 안 좋아서요. 열도 나고 기침도 심해서 내과 진료 예약하려고요.,"네, 증상 있으셔서 많이 불편하셨겠어요. 내일 오전 중 진료 원하시는 거죠?"
"네, 오전 중에 끝내고 출근해야 해서요. 이른 시간대에 가능할까요?","네, 내일 9시와 10시 10분 타임이 있어요. 이른 시간 원하시면 9시 괜찮으실까요?"
9시 정각 좋습니다. 예약 부탁드릴게요.,예약 완료되었습니다. 성함과 연락처 알려주세요.
"조민정이고요, 010-4442-7821입니다.","네, 확인되었습니다. 내일 9시 전에 도착하셔서 접수 먼저 부탁드립니다."
"네, 아침 일찍 갈게요. 주차 공간도 있죠?","네, 있습니다. 접수 때 차량 번호 말씀해주시면 무료 주차 등록 도와드릴게요."
"네, 감사합니다. 내일 뵐게요.","네, 조심히 오세요."
안녕하세요. 열이랑 두통이 심해서 진료 예약 좀 하려고 전화드렸어요.,"네, 증상 있으셔서 불편하셨겠네요. 내일 오전 중 진료 예약 도와드릴게요. 시간 괜찮으신가요?"
"네, 가능한 시간대 좀 알려주실 수 있나요?","내일 오전에는 10시 40분, 11시 30분 두 타임 비어 있습니다."
10시 40분으로 할게요.,"네, 내과 진료 예약 도와드렸습니다. 성함과 연락처 확인 부탁드릴게요."
"강다희이고요, 번호는 010-9902-3344예요.","네, 확인되었습니다. 처음 방문이시니 신분증 지참해주시고 접수창구에서 문진표 작성 부탁드립니다."
알겠습니다. 혹시 따로 준비물 같은 건 없죠?,따로는 없습니다. 다만 건강보험증 등록되어 있으면 빠르게 처리 가능합니다.
"네, 확인했어요. 감사합니다.",내일 뵙겠습니다. 조심히 오세요.
