prompt,completion
"야, 경희내과지? 나 오늘 예약 바꿔야 되니까 빨리 처리해줘.","네, 경희내과입니다. 어떤 문의이실까요?"
"나 홍길동인데, 오늘 오전 11시 예약돼 있었어. 오후로 당장 바꿔. 가능한 시간 언제인데?","예약 내역은 확인됩니다. 오후에 가능한 시간은 2시 30분, 3시 50분, 5시 10분입니다."
3시 50분. 그걸로 해.,"네, 3시 50분으로 변경해드릴까요?"
빨리 해달라고. 됐냐?,"네, 처리 완료되었습니다."
알았어.,네.
"아, 진짜. 경희내과 맞아요? 진료 시간 좀 바꾸려고 하는데, 진짜 짜증 나네.","네, 맞습니다. 불편하시겠지만, 어떤 문의이실까요?"
"나 홍길동인데, 오늘 오전 11시에 예약됐다고. 근데 갑자기 못 가게 됐다고! 오후에 언제 비냐고!","예약 내역은 확인됩니다. 오늘 오후에는 2시 30분, 3시 50분, 5시 10분이 비어 있습니다."
뭔 시간이 이따위야? 3시 50분밖에 없어?,현재 그 시간들이 가능합니다.
하... 알았어. 3시 50분으로 바꿔놔.,"네, 그렇게 변경해드리겠습니다."
끊어.,네.
"야, 여기 경희내과 맞냐?","네, 경희내과입니다."
"나 홍길동인데, 오늘 오전 11시 예약. 시간 변경 좀 하려는데, 니네 언제까지 근무하는데?",예약 내역은 확인됩니다. 오후 5시 30분까지 진료합니다.
그럼 오후에 예약 가능한 시간은? 설마 없다고 하는 건 아니겠지?,"네, 오후 2시 30분, 3시 50분, 5시 10분 진료가 가능합니다."
"오, 그래도 시간이 있네? 3시 50분으로 바꿔줘.","네, 그렇게 처리해드리겠습니다."
됐어.,네.
여보세요. 경희내과죠? 진료 시간 좀 확인하려고 하는데.,"네, 어떤 문의이실까요?"
"나 홍길동인데, 오늘 오전 11시 예약돼 있어. 근데 갑자기 못 가게 됐는데, 진짜 오후에 빈 시간 없어? 숨기는 거 아니지?","예약 내역은 확인됩니다. 현재 가능한 시간은 2시 30분, 3시 50분, 5시 10분입니다."
진짜 그게 다야? 내가 원하는 시간은 없어?,"네, 현재 확인되는 시간은 그렇습니다."
알았어. 그럼 3시 50분으로 변경해놔.,"네, 그렇게 변경해드리겠습니다."
수고.,네.
"아, 드디어 전화받네. 경희내과 맞으세요?","네, 경희내과입니다."
"나 홍길동인데, 오늘 오전 11시 예약. 진료 시간 바꾸려고 하는데, 나 같은 사람이 한둘이 아닐 텐데, 알아서 잘 바꿔주세요, 네?","네, 예약 내역은 확인됩니다. 어떤 시간대로 변경을 원하시는지 알려주시겠어요?"
"오후에 되는 시간 좀 알려줘요. 뭐, 아무 때나 괜찮으니까.","오후 2시 30분, 3시 50분, 5시 10분 진료가 가능합니다."
3시 50분. 그거면 되겠죠?,"네, 가능합니다."
"네, 그럼 3시 50분으로 바꿔요.","네, 그렇게 처리해드렸습니다."
여보세요.,"네, 경희내과입니다."
"홍길동인데, 오늘 오전 11시. 변경.","네, 예약 내역은 확인됩니다. 변경 원하시는 시간을 말씀해주시겠어요?"
오후 언제 돼?,"오후 2시 30분, 3시 50분, 5시 10분 가능합니다."
3시 50분. 그걸로 됐어.,"네, 그렇게 변경해드리겠습니다."
됐어.,네.
"아, 정말. 경희내과죠? 오늘 진료 때문에 오전에 예약했는데, 갑자기 못 가게 됐어요. 진짜 왜 이렇게 일이 꼬이는지 모르겠네.","네, 불편하시겠지만 어떤 문의이실까요?"
"저 홍길동인데, 오늘 오전 11시 예약. 오후로 바꾸려고 하는데, 제대로 되는 게 없네.","예약 내역은 확인됩니다. 오후에 가능한 시간은 2시 30분, 3시 50분, 5시 10분입니다."
"아니, 왜 이렇게 선택지가 없어? 다른 날은 안 돼?",현재 오늘 오후에 가능한 시간은 그렇습니다. 다른 날짜는 다시 확인해드릴 수 있습니다.
됐어. 그냥 오늘 3시 50분으로 바꿔줘.,"네, 그렇게 변경해드리겠습니다."
어휴...,네.
경희내과.,"네, 경희내과입니다."
"홍길동, 오전 11시. 변경. 빨리 해줘.","네, 예약 내역은 확인됩니다. 변경 원하시는 시간을 말씀해주시겠어요?"
오후에 언제 되는데? 답답하네.,"오후 2시 30분, 3시 50분, 5시 10분 가능합니다."
3시 50분.,"네, 3시 50분으로 변경해드릴까요?"
응.,"네, 처리 완료되었습니다."
여보세요. 저 오늘 진료 시간 좀 바꿔야겠는데.,"네, 성함 말씀해주세요."
홍길동. 오늘 오전 11시 예약. 오후 언제 가능해요?,"네, 예약 내역은 확인됩니다. 오후에 2시 30분, 3시 50분, 5시 10분 진료가 가능합니다."
3시 50분으로 해줘.,"네, 그렇게 변경해드릴까요?"
응. 됐지?,"네, 완료되었습니다."
수고.,네.
"안녕하세요? 나 홍길동인데, 오늘 오전 11시 진료 예약된 사람이에요. 갑자기 내 스케줄이 바뀌어서 진료 시간을 변경해야겠어. 오후에 나한테 맞춰줄 수 있는 시간 있어?","네, 예약 내역은 확인됩니다. 오후에 가능한 시간은 2시 30분, 3시 50분, 5시 10분입니다."
으음... 그럼 3시 50분으로 변경하면 내가 몇 시까지 가야 하는 거야?,진료 10분 전까지 도착해주시면 됩니다.
"알았어. 그럼 3시 50분으로 변경하고, 나중에 내가 또 바꾸고 싶으면 그때 또 전화하면 되는 거지?","네, 그럼요. 다시 연락 주시면 됩니다."
오케이. 3시 50분으로 바꿔줘.,"네, 그렇게 처리해드렸습니다."
수고.,네.
저... 안녕하세요. 오늘 병원 예약했었나? 갑자기 헷갈려서요.,"네, 어떤 진료이신지 성함과 생년월일을 말씀해주시면 예약 내역 확인 도와드릴게요."
"아, 네네.홍길동이고, 95년 12월 25일이요.","네, 예약 내역을 확인해드렸습니다. 오늘 오전 11시 내과 진료로 예약되어 있으시네요."
"네! 맞아요! 그거 좀 바꿔야 하는데, 혹시 오후에 언제 가능한가요?","네, 오후에는 2시 30분, 3시 50분, 5시 10분 진료가 가능합니다."
3시 50분으로 바꿔주세요.,"네, 그렇게 변경해드릴게요."
"안녕하세요, 제가 진료 예약을 해놨던 것 같은데, 언제인지 기억이 안 나서 전화드렸어요.","네, 성함이 어떻게 되실까요?"
홍길동입니다.,"네, 확인 도와드리겠습니다. 오늘 오전 11시 내과 진료로 예약되어 있으십니다. 변경을 원하시나요?"
"네, 맞아요! 그거 변경하려구요.오후에 언제 비어있어요?","오후에는 2시 30분, 3시 50분, 5시 10분 진료가 가능합니다."
3시 50분으로 부탁드릴게요.,"네, 변경 완료되었습니다."
"안녕하세요. 제가 오늘 진료 예약이 있는데, 갑자기 일정이 생겨서요. 혹시 오늘 오후에 빈 시간 있나요?","네, 성함과 예약 시간을 알려주시면 확인해드리겠습니다."
"아, 네.홍길동이고요. 오늘 오전 예약이었어요.","네, 예약 내역 확인됩니다. 오후에 가능한 시간은 2시 30분, 3시 50분, 5시 10분입니다."
3시 50분으로 변경할 수 있을까요?,"네, 가능합니다."
"네, 감사합니다.","네, 조심히 오세요."
"여보세요? 여기 경희내과 맞죠? 제가 오늘 병원 예약이 있었던 것 같아서 전화했는데, 제대로 전화 건 게 맞는지 모르겠네요.","네, 경희내과입니다. 혹시 성함과 예약 날짜를 말씀해주실 수 있을까요?"
"홍길동이고, 오늘이나 내일쯤 예약했던 것 같아요.","네, 확인해드리겠습니다. 오늘 오전 11시 내과 진료로 예약되어 있으십니다."
"아! 맞아요! 그거 좀 바꿔야 하는데,오후에 언제 갈 수 있을까요?","오후에는 2시 30분, 3시 50분, 5시 10분 진료가 가능합니다."
3시 50분으로 바꿔주세요.,"네, 그렇게 처리해드리겠습니다."
"안녕하세요, 저희 엄마가 오늘 병원 예약이 있는데, 제가 대신 전화드렸어요. 혹시 시간 좀 바꿀 수 있을까요?","네, 어떤 분 예약이신지 성함과 예약 날짜를 말씀해주시겠어요?"
"엄마 성함은 박순자고, 아마 오늘이었을 거에요.","네, 예약 내역은 확인됩니다. 혹시 홍길동님 예약도 같이 확인해드릴까요? 오늘 오전 11시 내과 진료가 예약되어 있으십니다."
"어? 제가요? 아, 저도 예약했었네요! 그럼 제꺼부터 바꿔야겠어요. 오후에 가능한 시간 알려주세요.","네, 오후에는 2시 30분, 3시 50분, 5시 10분 진료가 가능합니다."
3시 50분으로 변경 부탁드릴게요.,"네, 그렇게 변경해드렸습니다."
안녕하세요. 저 요새 목이 따갑고 기침이 심해서 오늘 예약했었나? 싶어서 전화했어요.,"네, 예약 내역 확인해드릴게요. 성함이 어떻게 되실까요?"
"아, 네.홍길동입니다.","네, 확인되었습니다. 오늘 오전 11시 내과 진료로 예약되어 있으십니다. 혹시 시간 변경을 원하시나요?"
"네, 맞아요. 오후로 바꾸고 싶은데언제 가능해요?","오후에는 2시 30분, 3시 50분, 5시 10분 진료가 가능합니다."
3시 50분으로 바꿔주세요.,"네, 그렇게 처리해드리겠습니다."
"여보세요. 제 친구김철수가 오늘 여기 예약했다고 하는데, 제가 대신 물어보려구요. 혹시 몇 시에 예약돼 있는지 알 수 있나요?","환자 본인이 아니시면 예약 내역을 직접적으로 알려드리기 어렵습니다. 환자분 성함으로 본인 확인이 가능합니다. 혹시 환자 본인이시거나, 전화 주신 분 성함을 알려주실 수 있을까요?"
"아, 네. 제가홍길동인데, 저도 오늘 예약이 있었거든요.그럼 제 예약부터 확인하고 변경할 수 있을까요?","네, 예약 내역은 확인됩니다. 오늘 오전 11시 내과 진료가 예약되어 있으십니다."
네. 그럼오후에 가능한 시간알려주세요.,"오후에는 2시 30분, 3시 50분, 5시 10분 진료가 가능합니다."
3시 50분으로 바꿔주세요.,"네, 그렇게 변경해드리겠습니다."
"여보세요? 제가 오늘 진료 예약이 있는데, 시간이 좀 안 될 것 같아서요. 혹시 지금 바로 갈 수 있을까요?","네, 성함과 원래 예약 시간을 알려주시면 확인해드릴게요."
홍길동이고... 오늘 오전이었어요.,"네, 예약 내역은 확인됩니다. 혹시 지금 오시면 대기 시간이 길어질 수 있는데 괜찮으실까요?"
"아, 그래요?그럼 오후로 바꿔야겠네요. 언제쯤 가면 될까요?","오후에는 2시 30분, 3시 50분, 5시 10분 진료가 가능합니다."
"네, 그럼3시 50분으로 변경할게요.","네, 그렇게 변경해드렸습니다."
"안녕하세요, 저 오늘 진료 예약 시간 때문에 전화했는데요.","네, 성함이 어떻게 되실까요?"
홍길동입니다.,"네, 확인 도와드리겠습니다. 고객님께서는 내일 오전 11시에 내과 진료가 예약되어 있으십니다."
어? 내일이었어요? 제가 날짜를 착각했네요. 그럼오늘 진료는 아예 안 되는 건가요?,"오늘 진료를 원하시면 새로 예약하셔야 합니다. 오후에 2시 30분, 3시 50분, 5시 10분 진료가 가능합니다."
아... 그럼오늘 3시 50분으로 바꾸고내일 예약은 취소해주실 수 있나요?,"네, 그렇게 도와드릴게요."
"안녕하세요, 제가 오늘 진료 예약이 있는데 시간 좀 변경하려구요. 제 번호는010-1234-5678입니다.","네, 예약 내역 확인 도와드릴게요. 성함은 어떻게 되실까요?"
"아,홍길동입니다.","네, 확인되었습니다. 오늘 오전 11시 내과 진료로 예약되어 있으십니다."
"네. 오후로 바꾸고 싶은데,언제쯤 가능해요?","오후에는 2시 30분, 3시 50분, 5시 10분 진료가 가능합니다."
3시 50분으로 변경 부탁드립니다.,"네, 그렇게 변경해드리겠습니다."
"안녕하세요, 경희내과죠? 오늘 진료 시간 좀 변경하고 싶은데요. 오후 2시에 혹시 가능한가요?","네, 성함과 예약 시간 알려주세요."
"홍길동이고, 오늘 오전 11시 예약이었어요. 2시로 바꾸고 싶은데 가능할까요?","네, 예약 내역은 확인됩니다. 죄송하지만 2시는 이미 예약이 꽉 찼습니다. 혹시 2시 30분이나 3시 50분은 어떠실까요?"
"2시 30분은 좀 애매한데, 그럼 3시 50분으로 바꿔주세요.","네, 그렇게 처리해드리겠습니다."
감사합니다.,"네, 조심히 오세요."
"여보세요? 제가 오늘 김철수 원장님 진료 예약이 있는데, 오후로 변경해도 계속 그분께 진료받을 수 있나요?","네, 성함과 예약 시간 알려주세요."
"홍길동인데, 오늘 오전 11시 예약이었어요.","네, 예약 내역 확인되었습니다. 죄송하지만 김철수 원장님은 오늘 오후 진료가 모두 마감되었습니다. 다른 원장님 진료를 받으시는 건 어떠실까요?"
"아, 그래요? 그럼 다른 원장님은 언제 가능한데요?","오후 2시 30분, 3시 50분, 5시 10분 진료가 가능합니다."
3시 50분으로 부탁드릴게요.,"네, 그렇게 변경해드리겠습니다."
"안녕하세요, 경희내과입니다. 제가 오늘 예약이 있는데 시간이 애매해서요, 혹시 지금 바로 가면 진료 볼 수 있을까요?","네, 성함과 예약 시간 알려주세요."
홍길동입니다. 오늘 오전 11시 예약이었어요.,"네, 예약 내역 확인되었습니다. 지금 오시면 대기 환자가 많아 진료까지 시간이 오래 걸릴 수 있습니다. 괜찮으시다면 오후 3시 50분이나 5시 10분으로 예약해드릴까요?"
"으음, 대기가 긴가요? 그럼 오후 3시 50분으로 바꿔주세요.","네, 그렇게 변경해드리겠습니다."
감사합니다.,"네, 조심히 오세요."
여보세요. 저 오늘 진료 시간 좀 바꾸려구요. 오후 1시쯤에 가면 될까요?,"네, 성함 알려주세요."
홍길동입니다. 오늘 오전 11시 예약이요.,"네, 예약 내역 확인되었습니다. 죄송하지만 저희 병원은 오후 1시부터 2시까지 점심 시간입니다. 2시 30분이나 3시 50분은 어떠실까요?"
"아, 그렇군요. 그럼 2시 30분으로 부탁드릴게요.","네, 그렇게 바꿔드리겠습니다."
"네, 고맙습니다.",네.
"안녕하세요, 경희내과죠? 오늘 진료 시간 변경하려구요. 혹시 오늘 저녁에 늦게라도 진료 볼 수 있는 시간이 있을까요?","네, 성함과 예약 시간 알려주세요."
"홍길동이고, 오늘 오전 11시 예약이었어요.","네, 예약 내역은 확인됩니다. 죄송하지만 오늘 저녁 진료는 이미 마감되었습니다. 혹시 내일 오전 10시나 오후 4시 20분은 어떠실까요?"
"아, 오늘이 안 되는군요. 그럼 내일 오전 10시로 부탁드릴게요.","네, 그렇게 변경해드리겠습니다."
"네, 감사합니다.","네, 조심히 오세요."
"여보세요. 제가 오늘 김철수 원장님 진료 예약이 있는데, 시간을 오후로 변경하고 싶어서요.","네, 성함과 예약 시간을 말씀해주시겠어요?"
홍길동입니다. 오늘 오전 11시 예약이요.,"네, 예약 내역은 확인됩니다. 죄송하지만 김철수 원장님께서는 오늘 오후에 외부 학회 일정이 있어 진료가 어렵습니다. 다른 원장님 진료를 받으시거나, 내일 오전 10시에는 김철수 원장님 진료가 가능합니다."
아... 그럼 그냥 오늘 다른 원장님께 진료 받을게요. 오후에 가능한 시간 있나요?,"네, 오후 2시 30분, 3시 50분, 5시 10분 진료가 가능합니다."
3시 50분으로 부탁드릴게요.,"네, 그렇게 변경해드리겠습니다."
"안녕하세요, 경희내과죠? 제가 오늘 진료 예약이 있는데 시간을 바꾸면서 검사도 같이 받고 싶어서요.","네, 어떤 검사이신지 여쭤봐도 될까요?"
홍길동입니다. 오늘 오전 11시 예약이고요. 혹시 빈혈 검사도 바로 가능한가요?,"네, 예약 내역은 확인됩니다. 빈혈 검사는 혈액 검사라 가능하지만, 오후 3시 이후에는 검사실이 마감될 수 있습니다. 2시 30분으로 오시거나, 내일 오전에 오시는 걸 추천드립니다."
"아, 그렇군요. 그럼 2시 30분으로 변경하고 검사도 같이 받을게요.","네, 그렇게 변경해드렸습니다."
"네, 고맙습니다.","네, 조심히 오세요."
"여보세요, 경희내과죠? 저 오늘 진료 볼건데, 그냥 바로 가면 되나요?","네, 성함이 어떻게 되실까요?"
"홍길동인데요. 오전 11시에 예약이 있긴 한데, 그냥 가서 진료보면 안 될까요?","네, 예약 내역은 확인됩니다. 저희 병원은 예약제로 운영되어 바로 오시면 대기가 많이 길어질 수 있습니다. 오후 3시 50분이나 5시 10분 예약은 가능하신데, 변경해드릴까요?"
"네, 그럼 3시 50분으로 바꿔주세요.","네, 그렇게 변경해드리겠습니다."
알겠습니다.,네.
"안녕하세요. 홍길동인데, 오늘이 7월 1일이잖아요. 쉬는 날 같은데, 진료를 볼 수 있나요?","네, 고객님. 오늘 오전 11시 내과 진료가 예약되어 있으십니다. 저희 병원은 정상 진료하는 날입니다. 혹시 진료 시간 변경을 원하시나요?"
"아, 그렇군요! 그럼 다행이네요. 근데 제가 오후에 가족 행사가 있어서요. 혹시 내일은 진료 가능한가요?","네, 내일 진료는 오전 10시, 오후 4시 20분 진료가 가능합니다."
그럼 내일 오전 10시로 바꿔주세요.,"네, 그렇게 변경해드리겠습니다."
감사합니다.,"네, 조심히 오세요."
"여보세요, 경희내과죠? 저랑 친구 김철수랑 오늘 예약이 있는데요. 저희 둘 다 오후에 한꺼번에 진료 받을 수 있을까요?","네, 성함과 예약 시간 알려주세요."
"저는 홍길동이고, 친구는 김철수입니다. 저희 둘 다 오늘 오전 11시 예약이었어요.","네, 예약 내역은 확인됩니다. 죄송하지만 같은 시간에 두 분이 동시에 진료를 보시기는 어렵습니다. 한 분이 먼저 진료를 보시고, 다른 한 분이 다음 진료 시간에 보시는 건 어떠실까요?"
"그럼 제 진료를 3시 50분으로 변경하고, 친구는 4시 20분으로 해주실 수 있나요?","네, 그렇게 도와드리겠습니다."
"네, 감사합니다.","네, 조심히 오세요."
"안녕하세요, 경희내과죠? 오늘 진료 시간 좀 변경하고 싶은데요. 혹시 오후에 가면 진료비가 달라지나요?","네, 오후 진료라고 해서 진료비가 달라지지는 않습니다. 성함과 예약 시간 알려주세요."
"홍길동이고요, 오늘 오전 11시 예약이었어요.","네, 예약 내역 확인되었습니다. 변경 원하시는 시간 말씀해주시겠어요?"
3시 50분으로 부탁드릴게요.,"네, 그렇게 변경해드리겠습니다."
"여보세요? 제가 오늘 진료를 받으러 가는데, 혹시 신분증 같은 거 꼭 챙겨가야 하나요? 시간 변경 때문에 전화드렸어요.","네, 어떤 문의이신지 성함과 예약 시간 알려주세요."
"홍길동인데, 오늘 오전 11시 예약이었어요.","네, 예약 내역 확인되었습니다. 초진이신 경우 신분증은 필수로 지참하셔야 합니다. 오후에 가능한 시간은 2시 30분, 3시 50분, 5시 10분입니다."
3시 50분으로 바꿔주세요.,"네, 그렇게 처리해드렸습니다."
"안녕하세요, 홍길동인데요, 오늘 오전 11시 예약이었어요. 시간 좀 바꾸고 싶은데 진료 끝나고 바로 처방전 받을 수 있나요? 오래 안 걸리죠?","네, 예약 내역 확인되었습니다. 진료 후 처방전은 바로 발급 가능하며, 오래 걸리지 않습니다. 변경 원하시는 시간을 말씀해주시겠어요?"
3시 50분으로 부탁드릴게요.,"네, 그렇게 변경해드리겠습니다."
안녕하세요. 오늘 예약이 있는데 시간 변경 좀 하려구요. 혹시 병원 내에 주차장은 있나요?,"네, 병원 건물 지하에 주차장이 있으며, 진료 시 무료 주차권을 드립니다. 성함과 예약 시간을 말씀해주세요."
"홍길동이고, 오늘 오전 11시 예약이었어요.","네, 예약 내역은 확인됩니다. 오후에 가능한 시간은 2시 30분, 3시 50분, 5시 10분입니다."
3시 50분으로 바꿔주세요.,"네, 그렇게 변경해드리겠습니다."
"여보세요? 제가 오늘 진료 시간 좀 변경하고 싶은데, 혹시 이번에 가면 독감주사도 같이 맞을 수 있을까요?","네, 독감 주사는 현재 접종 가능합니다. 성함과 예약 시간 알려주세요."
"홍길동인데, 오늘 오전 11시 예약이에요.","네, 예약 내역 확인되었습니다. 오후 2시 30분, 3시 50분, 5시 10분 중 편하신 시간 말씀해주시겠어요?"
"3시 50분으로 바꾸고, 독감주사도 맞겠다고 말씀 드릴게요.","네, 그렇게 처리해드리겠습니다."
"안녕하세요, 홍길동인데 오늘 오전 11시 예약이에요. 시간 좀 변경하려는데 진료 시간은 얼마나 걸릴까요?","네, 예약 내역 확인되었습니다. 진료는 보통 10~15분 정도 소요됩니다. 변경 원하시는 시간을 말씀해주시겠어요?"
3시 50분으로 부탁드릴게요.,"네, 그렇게 변경해드리겠습니다."
경희내과죠? 저 오늘 진료 시간 좀 바꾸고 싶은데요. 따로 준비해갈 게 있나요?,"네, 초진이신 경우 신분증을 챙겨주시면 됩니다. 성함과 예약 시간 알려주세요."
"홍길동이고, 오늘 오전 11시 예약이에요.","네, 예약 내역 확인되었습니다. 오후 2시 30분, 3시 50분, 5시 10분 중 변경 원하시는 시간 말씀해주세요."
3시 50분으로 바꿔주세요.,"네, 그렇게 변경해드리겠습니다."
안녕하세요. 제가 오늘 진료 예약이 있는데 시간 좀 바꿀게요. 혹시 오늘 가서 검사도 같이 할 수 있을까요?,"네, 성함과 예약 시간 알려주세요."
홍길동입니다. 오늘 오전 11시 예약이었어요.,"네, 예약 내역 확인되었습니다. 어떤 검사이신지 여쭤봐도 될까요?"
간단한 피검사 정도 생각하고 있어요. 그것도 오늘 같이 가능한가요?,"네, 가능합니다. 오후 2시 30분, 3시 50분, 5시 10분 진료가 가능합니다."
3시 50분으로 변경할게요.,"네, 그렇게 변경해드리겠습니다."
여보세요. 저 오늘 진료 시간 좀 바꾸고 싶은데요. 제가 따로 먹는 약이 있는데 가져가야 하나요?,"네, 드시는 약이 있으시면 정확한 진료를 위해 약 이름이 적힌 처방전이나 약을 가져와주시는 것이 좋습니다. 성함과 예약 시간 알려주세요."
"홍길동이고, 오늘 오전 11시 예약이에요.","네, 예약 내역 확인되었습니다. 오후 2시 30분, 3시 50분, 5시 10분 중 변경 원하시는 시간 말씀해주세요."
3시 50분으로 바꿔주세요.,"네, 그렇게 변경해드리겠습니다."
"안녕하세요, 홍길동인데 오늘 오전 11시 예약이에요. 시간 변경 좀 하려구요. 혹시 진료 끝나고 바로 회사에 제출할 서류도 받을 수 있을까요?","네, 예약 내역 확인되었습니다. 어떤 서류이신가요? 말씀해주시면 진료 후에 바로 준비해드릴 수 있습니다. 오후에 가능한 시간은 2시 30분, 3시 50분, 5시 10분입니다."
3시 50분으로 부탁드릴게요.,"네, 그렇게 변경해드리겠습니다."
안녕하세요. 오늘 진료 예약이 있는데... 혹시 진료비는 카드로 결제할 수 있나요?,"네, 카드 결제 가능합니다. 성함과 예약 시간 알려주세요."
홍길동입니다. 오늘 오전 11시 예약이었어요.,"네, 예약 내역 확인되었습니다. 오후 2시 30분, 3시 50분, 5시 10분 중 변경 원하시는 시간 말씀해주시겠어요?"
3시 50분으로 변경해주세요.,"네, 그렇게 변경해드리겠습니다."
여보세요. 오늘 예약 시간 좀 바꾸고 싶은데요. 마스크는 쓰고 가야 하나요?,"네, 마스크는 자율적으로 착용하시면 됩니다. 성함과 예약 시간 알려주세요."
"홍길동이고, 오늘 오전 11시 예약이에요.","네, 예약 내역 확인되었습니다. 오후 2시 30분, 3시 50분, 5시 10분 중 편하신 시간 말씀해주세요."
3시 50분으로 바꿔주세요.,"네, 그렇게 변경해드리겠습니다."
"안녕하세요, 홍길동인데 오늘 예약 시간 좀 변경하려구요. 혹시 진료 전에 금식해야 하나요?","네, 예약 내역 확인되었습니다. 따로 검사가 예정되어 있지 않으시다면 금식은 필요 없습니다. 오후에 가능한 시간은 2시 30분, 3시 50분, 5시 10분입니다."
3시 50분으로 부탁드릴게요.,"네, 그렇게 변경해드리겠습니다."
"여보세요, 경희내과죠? 오늘 진료 시간 좀 변경하고 싶은데요. 이번 진료 때 전에 받았던 검사 결과도 같이 확인할 수 있나요?","네, 지난 검사 결과는 시스템에 남아 있으니 진료 때 함께 확인 가능합니다. 성함과 예약 시간 알려주세요."
"홍길동이고, 오늘 오전 11시 예약이었어요.","네, 예약 내역 확인되었습니다. 오후 2시 30분, 3시 50분, 5시 10분 중 편하신 시간 말씀해주세요."
3시 50분으로 변경할게요.,"네, 그렇게 변경해드리겠습니다."
안녕하세요. 오늘 예약이 있는데 시간 좀 바꿀게요. 혹시 제 증상에 맞는 다른 검사도 추천해주시나요?,"네, 성함과 예약 시간 알려주세요."
홍길동입니다. 오늘 오전 11시 예약이었어요.,"네, 예약 내역 확인되었습니다. 진료 시에 의사 선생님과 상담 후 필요한 검사를 결정하시면 됩니다. 오후 2시 30분, 3시 50분, 5시 10분 진료가 가능합니다."
3시 50분으로 바꿔주세요.,"네, 그렇게 변경해드리겠습니다."
"여보세요, 홍길동인데 오늘 오전 11시 예약이에요. 시간 변경 좀 하려구요. 혹시 진료 끝나고 처방전 받으려면 얼마나 걸릴까요?","네, 예약 내역 확인되었습니다. 처방전은 보통 진료 직후에 바로 발급해드립니다. 변경 원하시는 시간 말씀해주세요."
3시 50분으로 부탁드릴게요.,"네, 그렇게 변경해드리겠습니다."
안녕하세요. 오늘 진료 시간 좀 바꿀게요. 혹시 진료 예약 확인 전화는 따로 안 주시는 건가요?,"네, 저희 병원은 별도의 확인 전화는 드리지 않습니다. 성함과 예약 시간 알려주세요."
"홍길동이고, 오늘 오전 11시 예약이에요.","네, 예약 내역 확인되었습니다. 오후 2시 30분, 3시 50분, 5시 10분 중 변경 원하시는 시간 말씀해주세요."
3시 50분으로 바꿔주세요.,"네, 그렇게 변경해드리겠습니다."
"여보세요? 제가 오늘 진료 시간 좀 변경하고 싶은데, 혹시 진료가 늦어지면 미리 알려주나요?","네, 진료가 늦어지거나 변동이 생길 경우 별도로 안내해드립니다. 성함과 예약 시간 알려주세요."
"홍길동이고, 오늘 오전 11시 예약입니다.","네, 예약 내역 확인되었습니다. 오후 2시 30분, 3시 50분, 5시 10분 중 편하신 시간 말씀해주세요."
3시 50분으로 변경할게요.,"네, 그렇게 변경해드리겠습니다."
안녕하세요. 오늘 예약이 있는데 시간 좀 바꿀게요. 혹시 보호자 동반 진료도 가능한가요?,"네,  보호자 동반 진료 가능합니다. 성함과 예약 시간 알려주세요."
홍길동입니다. 오늘 오전 11시 예약이었어요.,"네, 예약 내역 확인되었습니다.오후 2시 30분, 3시 50분, 5시 10분 진료가 가능합니다."
3시 50분으로 바꿔주세요.,"네, 그렇게 변경해드리겠습니다."
"여보세요, 홍길동인데 오늘 오전 11시 예약이에요. 시간 변경 좀 하려구요. 혹시 제가 방문해서 진료 접수할 때 따로 필요한 서류가 있나요?","네, 예약 내역 확인되었습니다. 신분증 외에 특별히 준비하실 서류는 없습니다. 오후에 가능한 시간은 2시 30분, 3시 50분, 5시 10분입니다."
3시 50분으로 부탁드릴게요.,"네, 그렇게 변경해드리겠습니다."
안녕하세요. 오늘 진료 예약이 있는데... 혹시 주차는 몇 시간까지 무료인가요?,"네, 진료 시 최대 2시간까지 무료 주차 가능합니다. 성함과 예약 시간 알려주세요."
홍길동입니다. 오늘 오전 11시 예약이었어요.,"네, 예약 내역 확인되었습니다. 오후 2시 30분, 3시 50분, 5시 10분 중 변경 원하시는 시간 말씀해주시겠어요?"
3시 50분으로 변경해주세요.,"네, 그렇게 변경해드리겠습니다."
여보세요. 오늘 진료 시간 좀 바꿀게요. 혹시 다른 병원에서 받은 진단서 같은 것도 가져가야 하나요?,"네, 이전에 진료 받으셨던 내용이 있으시면 가져와주시는 것이 좋습니다. 성함과 예약 시간 알려주세요."
"홍길동이고, 오늘 오전 11시 예약이에요.","네, 예약 내역 확인되었습니다. 오후 2시 30분, 3시 50분, 5시 10분 중 편하신 시간 말씀해주세요."
3시 50분으로 바꿔주세요.,"네, 그렇게 변경해드리겠습니다."
"안녕하세요, 홍길동인데 오늘 오전 11시 예약이에요. 시간 변경 좀 하려구요. 혹시 진료 끝나고 다음 예약도 바로 잡을 수 있을까요?","네, 예약 내역 확인되었습니다. 진료 후에 접수 데스크에서 다음 예약을 도와드리고 있습니다. 오후에 가능한 시간은 2시 30분, 3시 50분, 5시 10분입니다."
3시 50분으로 부탁드릴게요.,"네, 그렇게 변경해드리겠습니다."
여보세요. 오늘 진료 시간 좀 바꿀게요. 혹시 초진이라 진료비가 더 많이 나오나요?,"네, 초진과 재진에 따라 진료비는 일부 차이가 있을 수 있습니다. 성함과 예약 시간 알려주세요."
